date,mxn_usd_spot,mxn_fwd_1m,min_max_spread,bid_ask_spread,mxn_interbank_1m,mxn_sov_10y,usa_libor_1m,usa_sov_10y,vix,oil_prices,eur_usd_spot
3/25/2004,11.0383,477.5,0.0605,0.0035,6.3477,#N/A N/A,1.09,3.7368,17.88,35.51,1.2128
3/26/2004,11.109,467.5,0.111,0.006,6.24,#N/A N/A,1.09,3.8292,17.33,35.73,1.2132
3/29/2004,11.2213,472.5,0.129,0.0125,6.215,#N/A N/A,1.09,3.8882,16.5,35.45,1.2157
3/30/2004,11.1925,490,0.0685,0.007,6.25,#N/A N/A,1.09,3.8939,16.28,36.25,1.2171
3/31/2004,11.1251,470,0.0935,0.015,6.245,#N/A N/A,1.09,3.8348,16.74,35.76,1.2316
4/1/2004,11.191,475,0.0913,0.006,6.19,#N/A N/A,1.09,3.8786,16.65,34.27,1.2365
4/2/2004,11.165,470,0.0583,0.018,6.215,#N/A N/A,1.09,4.1435,15.64,34.39,1.2136
4/5/2004,11.147,469.97,0.043,0.006,6.23,#N/A N/A,1.1,4.2064,14.97,34.38,1.2018
4/6/2004,11.171,465,0.0362,0.009,6.265,#N/A N/A,1.1,4.1475,15.32,34.97,1.2118
4/7/2004,11.2475,460,0.125,0.004,6.11,#N/A N/A,1.1,4.1573,15.76,36.15,1.2175
4/8/2004,11.2198,465,0.092,0.0415,6.11,#N/A N/A,1.1,4.1909,16.26,37.14,1.2088
4/9/2004,11.2,465,0.057,0.0252,6.11,#N/A N/A,1.1,4.1909,16.26,37.14,1.2093
4/12/2004,11.2357,465,0.0464,0.009,6.13,#N/A N/A,1.1,4.2285,15.28,37.84,1.2078
4/13/2004,11.25,502.5,0.06,0.006,6.15,#N/A N/A,1.1,4.3519,17.26,37.21,1.1946
4/14/2004,11.3048,502.5,0.08,0.0095,6.267,#N/A N/A,1.1,4.364,15.62,36.72,1.1962
4/15/2004,11.2608,470,0.0927,0.0075,6.215,#N/A N/A,1.1,4.4003,15.74,37.57,1.1984
4/16/2004,11.2698,455,0.0545,0.0115,6.18,#N/A N/A,1.1,4.3383,14.94,37.74,1.1993
4/19/2004,11.25,455,0.077,0.002,6.13,#N/A N/A,1.1,4.3845,15.42,37.42,1.2023
4/20/2004,11.337,492.5,0.1016,0.006,6.15,#N/A N/A,1.1,4.4573,16.67,37.6,1.1867
4/21/2004,11.3088,482.5,0.0705,0.0235,6.2,#N/A N/A,1.1,4.423,15.6,35.73,1.1842
4/22/2004,11.337,472.5,0.0761,0.006,6.15,#N/A N/A,1.1,4.3807,14.61,36.71,1.1904
4/23/2004,11.3225,455,0.041,0.016,6.045,#N/A N/A,1.1,4.4578,14.01,36.46,1.1842
4/26/2004,11.2803,432.5,0.087,0.0045,5.9,#N/A N/A,1.1,4.4336,14.77,36.97,1.1867
4/27/2004,11.2805,457.5,0.0935,0.005,5.83,#N/A N/A,1.1,4.3832,15.07,37.53,1.1925
4/28/2004,11.397,482.5,0.138,0.006,6.34,#N/A N/A,1.1,4.4967,16.29,37.46,1.1842
4/29/2004,11.4435,540,0.096,0.0205,6.4241,#N/A N/A,1.1,4.5356,16.6,37.31,1.1962
4/30/2004,11.4198,542.5,0.0848,0.0095,6.45,#N/A N/A,1.1,4.5053,17.19,37.38,1.198
5/3/2004,11.4673,607.5,0.0562,0.0065,6.6173,#N/A N/A,1.1,4.4993,16.62,38.21,1.1946
5/4/2004,11.4223,605,0.085,0.0105,6.7308,#N/A N/A,1.1,4.5649,16.55,38.98,1.21
5/5/2004,11.4025,576.5,0.074,0.005,6.7943,#N/A N/A,1.1,4.5794,15.77,39.57,1.2175
5/6/2004,11.4378,577.5,0.121,0.006,6.75,#N/A N/A,1.1,4.598,17.05,39.37,1.2081
5/7/2004,11.5845,595,0.1838,0.005,7.065,#N/A N/A,1.1,4.7709,18.13,39.93,1.1883
5/10/2004,11.6698,672.5,0.1325,0.0115,7.1883,#N/A N/A,1.1,4.7921,19.77,38.93,1.1848
5/11/2004,11.5793,662.5,0.1188,0.0205,7.2589,#N/A N/A,1.1,4.7462,18.57,40.06,1.1872
5/12/2004,11.6032,642.5,0.0942,0.0116,7.275,#N/A N/A,1.1,4.805,18.14,40.77,1.1903
5/13/2004,11.6333,645,0.065,0.0085,7.2939,#N/A N/A,1.1,4.8516,18.86,41.08,1.1822
5/14/2004,11.5297,612.5,0.1305,0.0106,7.125,#N/A N/A,1.1,4.7678,18.47,41.38,1.1888
5/17/2004,11.517,625,0.1035,0.016,7.0588,#N/A N/A,1.1,4.6887,19.96,41.55,1.2027
5/18/2004,11.5465,585,0.0952,0.011,6.95,#N/A N/A,1.1,4.7341,19.33,40.54,1.1953
5/19/2004,11.554,555,0.082,0.008,6.95,#N/A N/A,1.1,4.7717,18.93,41.5,1.2009
5/20/2004,11.572,565,0.102,0.02,6.9749,#N/A N/A,1.1,4.7004,18.67,40.92,1.1965
