date,amount,direction,type,sell_amount
9/7/2009,0,sell USD,min price,
9/8/2009,50,sell USD,no min price,50
9/8/2009,0,sell USD,min price,
9/9/2009,0,sell USD,min price,
9/9/2009,50,sell USD,no min price,50
9/10/2009,0,sell USD,min price,
9/10/2009,50,sell USD,no min price,50
9/11/2009,0,sell USD,min price,
9/11/2009,50,sell USD,no min price,50
9/14/2009,50,sell USD,no min price,50
9/14/2009,0,sell USD,min price,
9/15/2009,50,sell USD,no min price,50
9/15/2009,0,sell USD,min price,
9/17/2009,0,sell USD,min price,
9/17/2009,50,sell USD,no min price,50
9/18/2009,50,sell USD,no min price,50
9/18/2009,0,sell USD,min price,
9/21/2009,50,sell USD,no min price,50
9/21/2009,0,sell USD,min price,
9/22/2009,0,sell USD,min price,
9/22/2009,50,sell USD,no min price,50
9/23/2009,50,sell USD,no min price,50
9/23/2009,0,sell USD,min price,
9/24/2009,0,sell USD,min price,
9/24/2009,50,sell USD,no min price,50
9/25/2009,50,sell USD,no min price,50
9/25/2009,0,sell USD,min price,
9/28/2009,0,sell USD,min price,
9/28/2009,50,sell USD,no min price,50
9/29/2009,0,sell USD,min price,
9/29/2009,50,sell USD,no min price,50
9/30/2009,50,sell USD,no min price,50
9/30/2009,0,sell USD,min price,
10/1/2009,0,sell USD,min price,
10/2/2009,0,sell USD,min price,
10/5/2009,0,sell USD,min price,
10/6/2009,0,sell USD,min price,
10/7/2009,0,sell USD,min price,
10/8/2009,0,sell USD,min price,
10/9/2009,0,sell USD,min price,
10/12/2009,0,sell USD,min price,
10/13/2009,0,sell USD,min price,
10/14/2009,0,sell USD,min price,
10/15/2009,0,sell USD,min price,
10/16/2009,0,sell USD,min price,
10/19/2009,0,sell USD,min price,
10/20/2009,0,sell USD,min price,
10/21/2009,0,sell USD,min price,
10/22/2009,0,sell USD,min price,
10/23/2009,0,sell USD,min price,
10/26/2009,250,sell USD,min price,250
10/27/2009,0,sell USD,min price,
10/28/2009,0,sell USD,min price,
10/29/2009,0,sell USD,min price,
10/30/2009,0,sell USD,min price,
11/3/2009,0,sell USD,min price,
11/4/2009,0,sell USD,min price,
11/5/2009,0,sell USD,min price,
11/6/2009,0,sell USD,min price,
11/9/2009,0,sell USD,min price,
11/10/2009,0,sell USD,min price,
11/11/2009,0,sell USD,min price,
11/12/2009,0,sell USD,min price,
11/13/2009,0,sell USD,min price,
11/17/2009,0,sell USD,min price,
11/18/2009,0,sell USD,min price,
11/19/2009,0,sell USD,min price,
11/20/2009,0,sell USD,min price,
11/23/2009,0,sell USD,min price,
11/24/2009,0,sell USD,min price,
11/25/2009,0,sell USD,min price,
11/26/2009,0,sell USD,min price,
11/27/2009,0,sell USD,min price,
11/30/2009,0,sell USD,min price,
12/1/2009,0,sell USD,min price,
12/2/2009,0,sell USD,min price,
12/3/2009,0,sell USD,min price,
12/4/2009,0,sell USD,min price,
12/7/2009,0,sell USD,min price,
12/8/2009,11,sell USD,min price,11
12/9/2009,0,sell USD,min price,
12/10/2009,0,sell USD,min price,
12/11/2009,0,sell USD,min price,
12/14/2009,0,sell USD,min price,
12/15/2009,0,sell USD,min price,
12/16/2009,0,sell USD,min price,
12/17/2009,250,sell USD,min price,250
12/18/2009,0,sell USD,min price,
12/21/2009,0,sell USD,min price,
12/22/2009,0,sell USD,min price,
12/23/2009,0,sell USD,min price,
12/24/2009,0,sell USD,min price,
12/28/2009,0,sell USD,min price,
12/29/2009,0,sell USD,min price,
12/30/2009,0,sell USD,min price,
12/31/2009,0,sell USD,min price,
1/4/2010,0,sell USD,min price,
1/5/2010,0,sell USD,min price,
1/6/2010,0,sell USD,min price,
1/7/2010,0,sell USD,min price,
1/8/2010,0,sell USD,min price,
1/11/2010,0,sell USD,min price,
1/12/2010,0,sell USD,min price,
1/13/2010,0,sell USD,min price,
1/14/2010,0,sell USD,min price,
1/15/2010,0,sell USD,min price,
1/18/2010,0,sell USD,min price,
1/19/2010,0,sell USD,min price,
1/20/2010,0,sell USD,min price,
1/21/2010,0,sell USD,min price,
1/22/2010,0,sell USD,min price,
1/25/2010,0,sell USD,min price,
1/26/2010,0,sell USD,min price,
1/27/2010,0,sell USD,min price,
1/28/2010,0,sell USD,min price,
1/29/2010,0,sell USD,min price,
2/2/2010,0,sell USD,min price,
2/3/2010,0,sell USD,min price,
2/4/2010,0,sell USD,min price,
2/5/2010,0,sell USD,min price,
2/8/2010,0,sell USD,min price,
2/9/2010,0,sell USD,min price,
2/10/2010,0,sell USD,min price,
2/11/2010,0,sell USD,min price,
2/12/2010,0,sell USD,min price,
2/15/2010,0,sell USD,min price,
2/16/2010,0,sell USD,min price,
2/17/2010,0,sell USD,min price,
2/18/2010,0,sell USD,min price,
2/19/2010,0,sell USD,min price,
2/22/2010,0,sell USD,min price,
2/23/2010,0,sell USD,min price,
2/24/2010,0,sell USD,min price,
2/25/2010,0,sell USD,min price,
2/26/2010,0,sell USD,min price,
3/1/2010,0,sell USD,min price,
3/2/2010,0,sell USD,min price,
3/3/2010,0,sell USD,min price,
3/4/2010,0,sell USD,min price,
3/5/2010,0,sell USD,min price,
3/8/2010,0,sell USD,min price,
3/9/2010,0,sell USD,min price,
3/10/2010,0,sell USD,min price,
3/11/2010,0,sell USD,min price,
3/12/2010,0,sell USD,min price,
3/16/2010,0,sell USD,min price,
3/17/2010,0,sell USD,min price,
3/18/2010,0,sell USD,min price,
3/19/2010,0,sell USD,min price,
3/22/2010,0,sell USD,min price,
3/23/2010,0,sell USD,min price,
3/24/2010,0,sell USD,min price,
3/25/2010,0,sell USD,min price,
3/26/2010,0,sell USD,min price,
3/29/2010,0,sell USD,min price,
3/30/2010,0,sell USD,min price,
3/31/2010,0,sell USD,min price,
4/5/2010,0,sell USD,min price,
4/6/2010,0,sell USD,min price,
4/7/2010,0,sell USD,min price,
4/8/2010,0,sell USD,min price,
4/9/2010,0,sell USD,min price,
11/30/2011,0,sell USD,min price,
12/1/2011,0,sell USD,min price,
12/2/2011,0,sell USD,min price,
12/5/2011,0,sell USD,min price,
12/6/2011,0,sell USD,min price,
12/7/2011,0,sell USD,min price,
12/8/2011,0,sell USD,min price,
12/9/2011,0,sell USD,min price,
12/13/2011,0,sell USD,min price,
12/14/2011,0,sell USD,min price,
12/15/2011,0,sell USD,min price,
12/16/2011,0,sell USD,min price,
12/19/2011,0,sell USD,min price,
12/20/2011,0,sell USD,min price,
12/21/2011,0,sell USD,min price,
12/22/2011,0,sell USD,min price,
12/23/2011,0,sell USD,min price,
12/26/2011,0,sell USD,min price,
12/27/2011,0,sell USD,min price,
12/28/2011,0,sell USD,min price,
12/29/2011,0,sell USD,min price,
12/30/2011,0,sell USD,min price,
1/2/2012,0,sell USD,min price,
1/3/2012,0,sell USD,min price,
1/4/2012,0,sell USD,min price,
1/5/2012,0,sell USD,min price,
1/6/2012,0,sell USD,min price,
1/9/2012,0,sell USD,min price,
1/10/2012,0,sell USD,min price,
1/11/2012,0,sell USD,min price,
1/12/2012,0,sell USD,min price,
1/13/2012,0,sell USD,min price,
