date,mxn_usd_spot,mxn_fwd_1m,min_max_spread,bid_ask_spread,mxn_interbank_1m,mxn_sov_10y,usa_libor_1m,usa_sov_10y,vix,oil_prices,eur_usd_spot,amount,direction,type,sell_amount,FX level,FX log returns,Bid ask abs,Min max abs,Forward points first difference,Interbank rate vs Libor,VIX first diff,EURUSD log returns,Oil prices log returns,FX intervention in USD,fx_intervention_minprice,fx_intervention_nominprice,FX intervention dummy,FX intervention dummy lag,Intercept,FX log returns_fwd
1990-08-15,2.872,,0.0,0.0,,,8.125,8.638,23.31,26.46,,,,,,2.872,-3.481288111748182,0.0,0.0,,,-0.870000000000001,,15.128595926304088,0.0,,,0,0.0,1,0.0
1990-08-16,2.872,,0.0,0.0,,,8.125,8.778,27.16,27.36,,,,,,2.872,0.0,0.0,0.0,,,3.8500000000000014,,334.4793406754012,0.0,,,0,0.0,1,0.0
1990-08-17,2.872,,0.0,0.0,,,8.1875,8.79,27.53,28.63,,,,,,2.872,0.0,0.0,0.0,,,0.370000000000001,,453.73026355673954,0.0,,,0,0.0,1,6.961364708554241
1990-08-20,2.874,,0.0,0.0,,,8.1875,8.811,26.46,28.56,,,,,,2.874,6.961364708554241,0.0,0.0,,,-1.0700000000000003,,-24.479816386400014,0.0,,,0,0.0,1,34.73431765869358
1990-08-21,2.884,,0.0,0.0,,,8.25,8.833,28.9,28.41,,,,,,2.884,34.73431765869358,0.0,0.0,,,2.4399999999999977,,-52.65941605287051,0.0,,,0,0.0,1,0.0
1990-08-22,2.884,,0.0,0.0,,,8.1875,8.946,30.55,31.22,,,,,,2.884,0.0,0.0,0.0,,,1.6500000000000021,,943.1771922118944,0.0,,,0,0.0,1,0.0
1990-08-23,2.884,,0.0,0.0,,,8.25,9.009,36.47,31.93,,,,,,2.884,0.0,0.0,0.0,,,5.919999999999998,,224.8709163940472,0.0,,,0,0.0,1,0.0
1990-08-24,2.884,,0.0,0.0,,,8.25,9.036,33.93,30.91,,,,,,2.884,0.0,0.0,0.0,,,-2.539999999999999,,-324.66250582665754,0.0,,,0,0.0,1,0.0
1990-08-27,2.884,,0.0,0.0,,,8.25,8.873,29.63,26.91,,,,,,2.884,0.0,0.0,0.0,,,-4.300000000000001,,-1385.8179140521042,0.0,,,0,0.0,1,0.0
1990-08-28,2.884,,0.0,0.0,,,8.125,8.921,29.12,27.88,,,,,,2.884,0.0,0.0,0.0,,,-0.509999999999998,,354.1162115350855,0.0,,,0,0.0,1,-3.468007664375113
1990-08-29,2.883,,0.0,0.0,,,8.125,8.811,27.38,25.92,,,,,,2.883,-3.468007664375113,0.0,0.0,,,-1.740000000000002,,-728.9471440824907,0.0,,,0,0.0,1,0.0
1990-08-30,2.883,,0.0,0.0,,,8.0625,8.842,29.89,26.77,,,,,,2.883,0.0,0.0,0.0,,,2.5100000000000016,,322.6698604818709,0.0,,,0,0.0,1,0.0
1990-08-31,2.883,,0.0,0.0,,,8.0625,8.846,29.9,27.32,,,,,,2.883,0.0,0.0,0.0,,,0.00999999999999801,,203.3717717032814,0.0,,,0,0.0,1,0.0
1990-09-03,2.883,,0.0,0.0,,,8.0625,8.87,29.9,27.32,,,,,,2.883,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0,0.0,1,0.0
1990-09-04,2.883,,0.0,0.0,,,8.0625,8.887,29.58,29.12,,,,,,2.883,0.0,0.0,0.0,,,-0.3200000000000003,,638.0618862589595,0.0,,,0,0.0,1,13.864820245328238
1990-09-05,2.887,,0.0,0.0,,,8.0625,8.832,28.52,29.77,,,,,,2.887,13.864820245328238,0.0,0.0,,,-1.0599999999999987,,220.75951699199825,0.0,,,0,0.0,1,0.0
1990-09-06,2.887,,0.0,0.0,,,8.0625,8.82,30.19,31.43,,,,,,2.887,0.0,0.0,0.0,,,1.6700000000000017,,542.6167578179114,0.0,,,0,0.0,1,0.0
1990-09-07,2.887,,0.0,0.0,,,8.125,8.789,28.73,30.04,,,,,,2.887,0.0,0.0,0.0,,,-1.4600000000000009,,-452.3302391354231,0.0,,,0,0.0,1,3.463203497816656
1990-09-10,2.888,,0.0,0.0,,,8.125,8.834,29.34,31.3,,,,,,2.888,3.463203497816656,0.0,0.0,,,0.6099999999999994,,410.8827065017355,0.0,,,0,0.0,1,0.0
1990-09-11,2.888,,0.0,0.0,,,8.1875,8.793,28.38,30.76,,,,,,2.888,0.0,0.0,0.0,,,-0.9600000000000009,,-174.02952908664287,0.0,,,0,0.0,1,0.0
1990-09-12,2.888,,0.0,0.0,,,8.1875,8.803,28.12,30.97,,,,,,2.888,0.0,0.0,0.0,,,-0.259999999999998,,68.03849347668223,0.0,,,0,0.0,1,0.0
1990-09-13,2.888,,0.0,0.0,,,8.1875,8.822,29.33,31.07,,,,,,2.888,0.0,0.0,0.0,,,1.2099999999999973,,32.23729419844672,0.0,,,0,0.0,1,0.0
1990-09-14,2.888,,0.0,0.0,,,8.1875,8.868,30.56,31.76,,,,,,2.888,0.0,0.0,0.0,,,1.2300000000000004,,219.64912973978872,0.0,,,0,0.0,1,6.922810937611561
1990-09-17,2.89,,0.0,0.0,,,8.25,8.897,29.55,33.63,,,,,,2.89,6.922810937611561,0.0,0.0,,,-1.009999999999998,,572.1088937324325,0.0,,,0,0.0,1,-6.92281093761118
1990-09-18,2.888,,0.0,0.0,,,8.1875,8.904,28.82,33.41,,,,,,2.888,-6.92281093761118,0.0,0.0,,,-0.7300000000000004,,-65.63269383513277,0.0,,,0,0.0,1,0.0
1990-09-19,2.888,,0.0,0.0,,,8.25,8.872,27.88,33.18,,,,,,2.888,0.0,0.0,0.0,,,-0.9400000000000013,,-69.07971606366598,0.0,,,0,0.0,1,0.0
1990-09-20,2.888,,0.0,0.0,,,8.25,8.899,28.66,34.71,,,,,,2.888,0.0,0.0,0.0,,,0.7800000000000011,,450.80545111396515,0.0,,,0,0.0,1,0.0
1990-09-21,2.888,,0.0,0.0,,,8.3125,8.977,30.04,35.43,,,,,,2.888,0.0,0.0,0.0,,,1.379999999999999,,205.31089003685761,0.0,,,0,0.0,1,0.0
1990-09-24,2.888,,0.0,0.0,,,8.4375,9.03,30.56,38.25,,,,,,2.888,0.0,0.0,0.0,,,0.5199999999999996,,765.8464139516419,0.0,,,0,0.0,1,13.840832659385551
1990-09-25,2.892,,0.0,0.0,,,8.5,8.991,28.81,37.53,,,,,,2.892,13.840832659385551,0.0,0.0,,,-1.75,,-190.02947125615358,0.0,,,0,0.0,1,0.0
1990-09-26,2.892,,0.0,0.0,,,8.3125,8.977,28.19,38.67,,,,,,2.892,0.0,0.0,0.0,,,-0.6199999999999974,,299.23492472276206,0.0,,,0,0.0,1,0.0
1990-09-27,2.892,,0.0,0.0,,,8.25,8.87,28.67,39.54,,,,,,2.892,0.0,0.0,0.0,,,0.4800000000000004,,222.48712123265165,0.0,,,0,0.0,1,0.0
1990-09-28,2.892,,0.0,0.0,,,8.25,8.795,29.11,39.51,,,,,,2.892,0.0,0.0,0.0,,,0.4399999999999977,,-7.590133191714863,0.0,,,0,0.0,1,0.0
1990-10-01,2.892,,0.0,0.0,,,8.125,8.725,28.06,37.09,,,,,,2.892,0.0,0.0,0.0,,,-1.0500000000000007,,-632.0641292179977,0.0,,,0,0.0,1,27.624326959100795
1990-10-02,2.9,,0.0,0.0,,,8.125,8.68,27.28,33.95,,,,,,2.9,27.624326959100795,0.0,0.0,,,-0.7799999999999976,,-884.585374967943,0.0,,,0,0.0,1,0.0
1990-10-03,2.9,,0.0,0.0,,,8.125,8.718,27.9,37.32,,,,,,2.9,0.0,0.0,0.0,,,0.6199999999999974,,946.4052197443783,0.0,,,0,0.0,1,0.0
1990-10-04,2.9,,0.0,0.0,,,8.1875,8.647,27.51,36.93,,,,,,2.9,0.0,0.0,0.0,,,-0.389999999999997,,-105.05147114671306,0.0,,,0,0.0,1,0.0
1990-10-05,2.9,,0.0,0.0,,,8.1875,8.642,27.85,37.99,,,,,,2.9,0.0,0.0,0.0,,,0.33999999999999986,,282.9873833506242,0.0,,,0,0.0,1,0.0
1990-10-08,2.9,,0.0,0.0,,,8.1875,8.665,28.04,38.95,,,,,,2.9,0.0,0.0,0.0,,,0.18999999999999773,,249.5580511722309,0.0,,,0,0.0,1,-86.58062743114542
1990-10-09,2.875,,0.0,0.0,,,8.3125,8.807,30.71,40.4,,,,,,2.875,-86.58062743114542,0.0,0.0,,,2.6700000000000017,,365.5101265034702,0.0,,,0,0.0,1,0.0
1990-10-10,2.875,,0.0,0.0,,,8.3125,8.906,31.19,38.69,,,,,,2.875,0.0,0.0,0.0,,,0.4800000000000004,,-432.48616254682827,0.0,,,0,0.0,1,0.0
1990-10-11,2.875,,0.0,0.0,,,8.3125,8.918,33.98,40.42,,,,,,2.875,0.0,0.0,0.0,,,2.7899999999999956,,437.43543263053493,0.0,,,0,0.0,1,0.0
1990-10-12,2.875,,0.0,0.0,,,8.25,8.807,31.94,39.69,,,,,,2.875,0.0,0.0,0.0,,,-2.0399999999999956,,-182.25445180501086,0.0,,,0,0.0,1,103.80716054560817
1990-10-15,2.905,,0.0,0.0,,,8.3125,8.79,31.64,37.95,,,,,,2.905,103.80716054560817,0.0,0.0,,,-0.3000000000000007,,-448.29762953334904,0.0,,,0,0.0,1,0.0
1990-10-16,2.905,,0.0,0.0,,,8.3125,8.751,31.45,38.89,,,,,,2.905,0.0,0.0,0.0,,,-0.19000000000000128,,244.6764432601699,0.0,,,0,0.0,1,0.0
1990-10-17,2.905,,0.0,0.0,,,8.125,8.742,31.37,36.72,,,,,,2.905,0.0,0.0,0.0,,,-0.0799999999999983,,-574.1558241536629,0.0,,,0,0.0,1,0.0
1990-10-18,2.905,,0.0,0.0,,,8.1875,8.677,29.6,36.8,,,,,,2.905,0.0,0.0,0.0,,,-1.7699999999999996,,21.762794225954483,0.0,,,0,0.0,1,0.0
1990-10-19,2.905,,0.0,0.0,,,8.125,8.612,27.86,33.79,,,,,,2.905,0.0,0.0,0.0,,,-1.740000000000002,,-853.3294444868656,0.0,,,0,0.0,1,34.36429498581319
1990-10-22,2.915,,0.0,0.0,,,8.125,8.617,27.27,28.38,,,,,,2.915,34.36429498581319,0.0,0.0,,,-0.5899999999999999,,-1744.8022899430196,0.0,,,0,0.0,1,0.0
1990-10-23,2.915,,0.0,0.0,,,8.125,8.662,27.57,29.37,,,,,,2.915,0.0,0.0,0.0,,,0.3000000000000007,,342.8907347863217,0.0,,,0,0.0,1,0.0
